"p_15";1;"Har faget dette skoleåret"
"p_15";2;"Hadde på VG 1"
"p_15";3;"Skal velge neste skoleår"
"p_15";4;"Tilbys ikke på skolen"
"p_15";5;"Har ikke bestemt meg"
"p_16";1;"Har faget dette skoleåret"
"p_16";2;"Hadde på VG 1"
"p_16";3;"Skal velge neste skoleår"
"p_16";4;"Tilbys ikke på skolen"
"p_16";5;"Har ikke bestemt meg"
"p_17";1;"Har faget dette skoleåret"
"p_17";2;"Hadde på VG 1"
"p_17";3;"Skal velge neste skoleår"
"p_17";4;"Tilbys ikke på skolen"
"p_17";5;"Har ikke bestemt meg"
"p_18";1;"Har faget dette skoleåret"
"p_18";2;"Hadde på VG 1"
"p_18";3;"Skal velge neste skoleår"
"p_18";4;"Tilbys ikke på skolen"
"p_18";5;"Har ikke bestemt meg"
"p_19";1;"Har faget dette skoleåret"
"p_19";2;"Hadde på VG 1"
"p_19";3;"Skal velge neste skoleår"
"p_19";4;"Tilbys ikke på skolen"
"p_19";5;"Har ikke bestemt meg"
"p_20";1;"Har faget dette skoleåret"
"p_20";2;"Hadde på VG 1"
"p_20";3;"Skal velge neste skoleår"
"p_20";4;"Tilbys ikke på skolen"
"p_20";5;"Har ikke bestemt meg"
"p_21";1;"Har faget dette skoleåret"
"p_21";2;"Hadde på VG 1"
"p_21";3;"Skal velge neste skoleår"
"p_21";4;"Tilbys ikke på skolen"
"p_21";5;"Har ikke bestemt meg"
"p_22";1;"Har faget dette skoleåret"
"p_22";2;"Hadde på VG 1"
"p_22";3;"Skal velge neste skoleår"
"p_22";4;"Tilbys ikke på skolen"
"p_22";5;"Har ikke bestemt meg"
"p_23";1;"Har faget dette skoleåret"
"p_23";2;"Hadde på VG 1"
"p_23";3;"Skal velge neste skoleår"
"p_23";4;"Tilbys ikke på skolen"
"p_23";5;"Har ikke bestemt meg"
"p_24";1;"Har faget dette skoleåret"
"p_24";2;"Hadde på VG 1"
"p_24";3;"Skal velge neste skoleår"
"p_24";4;"Tilbys ikke på skolen"
"p_24";5;"Har ikke bestemt meg"
"p_25";1;"Har faget dette skoleåret"
"p_25";2;"Hadde på VG 1"
"p_25";3;"Skal velge neste skoleår"
"p_25";4;"Tilbys ikke på skolen"
"p_25";5;"Har ikke bestemt meg"
"p_26";1;"Har faget dette skoleåret"
"p_26";2;"Hadde på VG 1"
"p_26";3;"Skal velge neste skoleår"
"p_26";4;"Tilbys ikke på skolen"
"p_26";5;"Har ikke bestemt meg"
"p_27";1;"Har faget dette skoleåret"
"p_27";2;"Hadde på VG 1"
"p_27";3;"Skal velge neste skoleår"
"p_27";4;"Tilbys ikke på skolen"
"p_27";5;"Har ikke bestemt meg"
"p_28";1;"Har faget dette skoleåret"
"p_28";2;"Hadde på VG 1"
"p_28";3;"Skal velge neste skoleår"
"p_28";4;"Tilbys ikke på skolen"
"p_28";5;"Har ikke bestemt meg"
"p_29";1;"Har faget dette skoleåret"
"p_29";2;"Hadde på VG 1"
"p_29";3;"Skal velge neste skoleår"
"p_29";4;"Tilbys ikke på skolen"
"p_29";5;"Har ikke bestemt meg"
"p_30";1;"Har faget dette skoleåret"
"p_30";2;"Hadde på VG 1"
"p_30";3;"Skal velge neste skoleår"
"p_30";4;"Tilbys ikke på skolen"
"p_30";5;"Har ikke bestemt meg"
"p_31";1;"Har faget dette skoleåret"
"p_31";2;"Hadde på VG 1"
"p_31";3;"Skal velge neste skoleår"
"p_31";4;"Tilbys ikke på skolen"
"p_31";5;"Har ikke bestemt meg"
"p_32";1;"Har faget dette skoleåret"
"p_32";2;"Hadde på VG 1"
"p_32";3;"Skal velge neste skoleår"
"p_32";4;"Tilbys ikke på skolen"
"p_32";5;"Har ikke bestemt meg"
"p_33";1;"Har faget dette skoleåret"
"p_33";2;"Hadde på VG 1"
"p_33";3;"Skal velge neste skoleår"
"p_33";4;"Tilbys ikke på skolen"
"p_33";5;"Har ikke bestemt meg"
"p_34";1;"Har faget dette skoleåret"
"p_34";2;"Hadde på VG 1"
"p_34";3;"Skal velge neste skoleår"
"p_34";4;"Tilbys ikke på skolen"
"p_34";5;"Har ikke bestemt meg"
"p_35";1;"Har faget dette skoleåret"
"p_35";2;"Hadde på VG 1"
"p_35";3;"Skal velge neste skoleår"
"p_35";4;"Tilbys ikke på skolen"
"p_35";5;"Har ikke bestemt meg"
"p_36";1;"Har faget dette skoleåret"
"p_36";2;"Hadde på VG 1"
"p_36";3;"Skal velge neste skoleår"
"p_36";4;"Tilbys ikke på skolen"
"p_36";5;"Har ikke bestemt meg"
"p_37";1;"Har faget dette skoleåret"
"p_37";2;"Hadde på VG 1"
"p_37";3;"Skal velge neste skoleår"
"p_37";4;"Tilbys ikke på skolen"
"p_37";5;"Har ikke bestemt meg"
"p_38";1;"Har faget dette skoleåret"
"p_38";2;"Hadde på VG 1"
"p_38";3;"Skal velge neste skoleår"
"p_38";4;"Tilbys ikke på skolen"
"p_38";5;"Har ikke bestemt meg"
"p_39";1;"Har faget dette skoleåret"
"p_39";2;"Hadde på VG 1"
"p_39";3;"Skal velge neste skoleår"
"p_39";4;"Tilbys ikke på skolen"
"p_39";5;"Har ikke bestemt meg"
"p_40";1;"Har faget dette skoleåret"
"p_40";2;"Hadde på VG 1"
"p_40";3;"Skal velge neste skoleår"
"p_40";4;"Tilbys ikke på skolen"
"p_40";5;"Har ikke bestemt meg"
"p_41";1;"Har faget dette skoleåret"
"p_41";2;"Hadde på VG 1"
"p_41";3;"Skal velge neste skoleår"
"p_41";4;"Tilbys ikke på skolen"
"p_41";5;"Har ikke bestemt meg"
"p_42";1;"Har faget dette skoleåret"
"p_42";2;"Hadde på VG 1"
"p_42";3;"Skal velge neste skoleår"
"p_42";4;"Tilbys ikke på skolen"
"p_42";5;"Har ikke bestemt meg"
"p_43";1;"Har faget dette skoleåret"
"p_43";2;"Hadde på VG 1"
"p_43";3;"Skal velge neste skoleår"
"p_43";4;"Tilbys ikke på skolen"
"p_43";5;"Har ikke bestemt meg"
"p_44";1;"Har faget dette skoleåret"
"p_44";2;"Hadde på VG 1"
"p_44";3;"Skal velge neste skoleår"
"p_44";4;"Tilbys ikke på skolen"
"p_44";5;"Har ikke bestemt meg"
"p_45";1;"Har faget dette skoleåret"
"p_45";2;"Hadde på VG 1"
"p_45";3;"Skal velge neste skoleår"
"p_45";4;"Tilbys ikke på skolen"
"p_45";5;"Har ikke bestemt meg"
"p_46";1;"Har faget dette skoleåret"
"p_46";2;"Hadde på VG 1"
"p_46";3;"Skal velge neste skoleår"
"p_46";4;"Tilbys ikke på skolen"
"p_46";5;"Har ikke bestemt meg"
"p_47";1;"Har faget dette skoleåret"
"p_47";2;"Hadde på VG 1"
"p_47";3;"Skal velge neste skoleår"
"p_47";4;"Tilbys ikke på skolen"
"p_47";5;"Har ikke bestemt meg"
